ball_query (9072600),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_1,0.8938013456371304,0.21239730872573917,0.1027878167907173,0.00905793148265456,1.064789085632504,0.09744537429512293,239,8515800
airplane_2,0.9367915883128912,0.12641682337421764,0.046713834522900254,0.00407911188728461,0.3396501345212367,0.08761179463224848,239,9080700
airplane_3,0.8650774619800958,0.26984507603980845,0.13334832467824637,0.014507809308234613,1.2699706136052362,0.10215151917671868,239,7524300
airplane_4,0.9041551849166064,0.19168963016678758,0.09235977862676245,0.008074529975856101,0.8965997493023656,0.09697983027036054,239,8508100
airplane_5,0.7967886178861789,0.40642276422764223,0.21290235386577858,0.028962700497546713,1.8735255635355184,0.11236682530652878,239,8530700
ball_1,0.8937179507033165,0.2125640985933669,0.0788938724164292,0.008085864396522409,0.5396886824106336,0.0791415776659354,239,8567600
ball_2,0.5245068008775327,0.9509863982449349,0.45061240240966827,0.14844907618913747,3.290275029036005,0.14453958274185918,239,7519600
ball_3,0.9124757768125625,0.1750484463748747,0.06128239931524887,0.007619542879773989,0.9383928372551829,0.0878072836618777,239,14157100
ball_4,0.9427475545231643,0.11450489095367142,0.040482574354439235,0.0025098361137168867,0.143540379403794,0.08269608413988902,239,7471800
ball_5,0.7116279747671428,0.5767440504657146,0.29709794670787737,0.05616009394495251,2.4412789506046324,0.12473548936105609,239,8516000
car_1,0.9080451841501735,0.18390963169965274,0.07213421972309605,0.012170605561426117,0.5532731978516303,0.08537482367136942,239,6004800
car_2,0.8811573721973622,0.23768525560527543,0.08789002342424196,0.011250643512016194,0.3818840682242937,0.07685784640297454,239,7037100
car_3,0.8614178413720323,0.27716431725593543,0.11173181027548089,0.01633367879397341,0.560019986204213,0.07369894703950666,239,5970300
car_4,0.901919147255287,0.19616170548942619,0.09116726871624743,0.009842140034913138,0.6597314538047485,0.07273213986019483,239,12568400
car_5,0.8643612963323252,0.2712774073353496,0.11252275047300164,0.015502713569884734,0.6744071054198577,0.0710373573010567,239,6003100
cat_1,0.8357224899300665,0.32855502013986704,0.12326598535077832,0.0199323157414904,0.672642251711271,0.07339931367945898,239,7043600
cat_2,0.8674511466461758,0.2650977067076483,0.11831662531478641,0.015345579860937798,0.8124765172692464,0.07271889276035617,239,8511600
cat_3,0.8667750677506775,0.266449864498645,0.09897546695775858,0.013846071999164431,0.5311214175848322,0.07867570479887553,239,5998300
cat_4,0.931503852211297,0.13699229557740603,0.05290150420515614,0.0033741963364017865,0.45454591337238537,0.07833272261443633,239,6497200
cat_5,0.8112529616724737,0.3774940766550523,0.13124463662812497,0.026149097203330227,0.6999784746418893,0.07818014126553964,239,6501800
dolphin_1,0.8828799174663733,0.23424016506725323,0.0944524908436397,0.010644371464693178,0.4566732200442516,0.07353742238140658,239,6001100
dolphin_2,0.82961331300813,0.34077337398373986,0.1258348152979676,0.027025502491058916,0.6984631968641117,0.0858524503968254,239,4999300
dolphin_3,0.7549443259891021,0.4901113480217958,0.24049347954791486,0.03983480709435635,2.2142942661836,0.11622732215808299,239,6003400
dolphin_4,0.8242159277504104,0.35156814449917895,0.11986293418683083,0.021360345519886192,0.5217653890824623,0.09356339594430427,239,6559500
dolphin_5,0.8920327695612946,0.21593446087741075,0.10186649443789003,0.009237476702470427,1.0174263881204109,0.09722204659385651,239,8010800
face_1,0.9058743808165289,0.18825123836694208,0.07999280780039958,0.006784996958491468,0.35190494876438155,0.07517474663742726,239,9610700
face_2,0.8787230141534224,0.24255397169315512,0.09026352485517657,0.010514573074100192,0.5113353510464181,0.07669532476530264,239,7585800
face_3,0.8910721411993819,0.21785571760123618,0.06885132872298665,0.008851519218358368,0.6060738671618093,0.08197971533012695,239,7560500
face_4,0.9062348248274034,0.1875303503451933,0.0706536958046694,0.006224721892809669,0.3943481548767683,0.07826399217643676,239,8113500
face_5,0.8807242621876769,0.23855147562464632,0.0985758056285651,0.011367578779210567,0.4372357723577236,0.07341139090616443,239,8603200
lotus_1,0.8923413924095573,0.21531721518088542,0.07820081819980458,0.007877052517457106,0.3533045762772037,0.07539670451913502,239,6998800
lotus_2,0.909186162269786,0.18162767546042807,0.06676906201001893,0.005633687321810883,1.0008627841380453,0.0932122425276731,239,6034000
lotus_3,0.5576844024295045,0.8846311951409913,0.45895947854554864,0.12326547142655847,3.9591526246644198,0.14512905282331515,239,7583700
lotus_4,0.9304104835015339,0.13917903299693213,0.06777546504510153,0.004468710856743127,0.43559004400516393,0.07659201984165545,239,8545500
lotus_5,0.8604255848680936,0.2791488302638129,0.08137795230902621,0.017602965935988653,1.224717659421492,0.08966927595660797,239,9575800
pickles_1,0.33417797041053954,1.331644059178921,0.690397961794752,0.35375231663639595,5.718504967997072,0.17489582606946524,239,962178800
pickles_2,0.3195408559814169,1.360918288037166,0.7055327802933916,0.38282584491141824,5.8184417790360055,0.17683413122919087,239,1341578400
pickles_3,0.4000127405329345,1.199974518934131,0.6238440589456233,0.28603924612993475,5.2558003629096905,0.16628262792887988,239,826395300
pickles_4,0.3865265586555373,1.2269468826889254,0.6372470660653531,0.29491095388750843,5.393912461027696,0.16791927488424174,239,994063000
pickles_5,0.37492005083698615,1.2501598983260278,0.6487664784713001,0.30494833041306385,5.434348385833671,0.1696077031840056,239,565003300
